,TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
9760,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2023,,3.0,,1.7,4.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9761,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare and Medicaid,67,67,,,"Percent of population, crude",1,2024,,2.3,,1.4,3.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9762,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2019,,3.2,,2.5,4.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9763,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2020,,2.1,,1.6,2.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9764,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2021,,2.7,,2.0,3.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9765,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2022,,2.4,,1.8,3.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9766,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2023,,2.5,,2.0,3.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9767,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare Advantage,68,68,,,"Percent of population, crude",1,2024,,2.5,,1.9,3.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9768,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2019,,5.3,,3.7,7.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9769,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2020,,6.3,,4.6,8.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9770,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2021,,4.7,,3.4,6.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9771,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2022,,5.5,,3.5,8.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9772,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2023,,4.2,,3.0,5.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9773,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Medicare only excluding Medicare Advantage,69,69,,,"Percent of population, crude",1,2024,,2.7,,1.9,3.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9774,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2019,,3.5,,1.9,5.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9775,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2020,,2.0,,0.9,3.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9776,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2021,,1.5,,0.7,2.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9777,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2022,,2.3,,1.2,3.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9778,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2023,,1.2,,0.6,2.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9779,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Other government coverage,70,70,,,"Percent of population, crude",1,2024,,2.2,,1.1,3.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9780,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2019,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9781,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2020,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9782,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2021,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9783,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2022,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9784,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2023,,20.3,,9.7,35.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9785,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: 65 years and older,19,19,Uninsured,71,71,,,"Percent of population, crude",1,2024,,,,,,*,"NA_NHISA14,NT_NHISA00,NT_NHISA999,FN_NHISA09,FN_NHISA34,SC_NHISA00"
9786,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2019,,6.3,,5.8,6.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9787,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2020,,5.6,,5.2,6.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9788,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2021,,6.6,,6.2,7.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9789,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2022,,5.7,,5.2,6.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9790,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2023,,6.3,,5.9,6.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9791,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Private,72,72,,,"Percent of population, crude",1,2024,,8.4,,7.9,9.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9792,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2019,,8.9,,7.6,10.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9793,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2020,,7.3,,6.1,8.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9794,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2021,,5.4,,4.6,6.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9795,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2022,,6.6,,5.6,7.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9796,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2023,,7.1,,5.9,8.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9797,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Medicaid or other state programs,73,73,,,"Percent of population, crude",1,2024,,6.5,,5.4,7.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9798,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Other government coverage,74,74,,,"Percent of population, crude",1,2019,,10.4,,8.4,12.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9799,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Other government coverage,74,74,,,"Percent of population, crude",1,2020,,8.8,,7.0,11.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9800,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Other government coverage,74,74,,,"Percent of population, crude",1,2021,,8.3,,6.1,10.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9801,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Other government coverage,74,74,,,"Percent of population, crude",1,2022,,7.7,,5.9,9.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9802,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Other government coverage,74,74,,,"Percent of population, crude",1,2023,,9.1,,6.7,11.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9803,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Other government coverage,74,74,,,"Percent of population, crude",1,2024,,10.1,,8.0,12.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9804,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Uninsured,75,75,,,"Percent of population, crude",1,2019,,32.1,,30.0,34.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9805,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Uninsured,75,75,,,"Percent of population, crude",1,2020,,26.2,,23.7,28.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9806,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Uninsured,75,75,,,"Percent of population, crude",1,2021,,22.2,,20.2,24.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9807,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Uninsured,75,75,,,"Percent of population, crude",1,2022,,24.8,,22.7,27.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9808,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Uninsured,75,75,,,"Percent of population, crude",1,2023,,24.7,,22.4,27.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9809,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Health insurance coverage: Younger than 65 years,20,20,Uninsured,75,75,,,"Percent of population, crude",1,2024,,26.8,,24.6,29.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA08,FN_NHISA34,SC_NHISA00"
9810,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,<100% FPL,76,76,,,"Percent of population, crude",1,2019,,16.0,,14.3,17.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9811,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,<100% FPL,76,76,,,"Percent of population, crude",1,2020,,13.2,,11.4,15.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9812,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,<100% FPL,76,76,,,"Percent of population, crude",1,2021,,11.0,,9.6,12.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9813,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,<100% FPL,76,76,,,"Percent of population, crude",1,2022,,11.0,,9.5,12.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9814,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,<100% FPL,76,76,,,"Percent of population, crude",1,2023,,11.9,,10.4,13.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9815,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,<100% FPL,76,76,,,"Percent of population, crude",1,2024,,11.5,,10.0,13.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9816,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,100% to <200% FPL,77,77,,,"Percent of population, crude",1,2019,,14.9,,13.7,16.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9817,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,100% to <200% FPL,77,77,,,"Percent of population, crude",1,2020,,12.1,,10.9,13.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9818,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,100% to <200% FPL,77,77,,,"Percent of population, crude",1,2021,,9.6,,8.7,10.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9819,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,100% to <200% FPL,77,77,,,"Percent of population, crude",1,2022,,11.3,,10.1,12.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9820,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,100% to <200% FPL,77,77,,,"Percent of population, crude",1,2023,,11.5,,10.3,12.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9821,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,100% to <200% FPL,77,77,,,"Percent of population, crude",1,2024,,11.7,,10.5,12.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9822,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,≥200% FPL,78,78,,,"Percent of population, crude",1,2019,,6.4,,6.0,6.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9823,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,≥200% FPL,78,78,,,"Percent of population, crude",1,2020,,5.6,,5.2,6.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9824,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,≥200% FPL,78,78,,,"Percent of population, crude",1,2021,,6.0,,5.6,6.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9825,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,≥200% FPL,78,78,,,"Percent of population, crude",1,2022,,5.5,,5.1,5.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9826,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,≥200% FPL,78,78,,,"Percent of population, crude",1,2023,,5.5,,5.1,5.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
9827,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Socioeconomic Characteristic,3,Poverty level,21,21,≥200% FPL,78,78,,,"Percent of population, crude",1,2024,,7.4,,7.0,7.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA11,FN_NHISA34,SC_NHISA00"
10770,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2019,,9.1,,8.3,10.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10771,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2020,,7.6,,6.8,8.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10772,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2021,,7.0,,6.3,7.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10773,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2022,,7.0,,6.3,7.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10774,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2023,,7.0,,6.2,7.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10775,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2024,,8.8,,8.0,9.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10776,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2019,,10.0,,9.1,10.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10777,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2020,,7.9,,7.1,8.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10778,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2021,,7.4,,6.7,8.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10779,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2022,,8.4,,7.6,9.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10780,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2023,,8.3,,7.5,9.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10781,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2024,,9.7,,8.9,10.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10782,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2019,,9.8,,9.0,10.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10783,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2020,,8.0,,7.3,8.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10784,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2021,,7.2,,6.5,7.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10785,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2022,,6.7,,6.0,7.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10786,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2023,,7.4,,6.6,8.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10787,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2024,,8.3,,7.6,9.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10788,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2019,,3.4,,2.9,3.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10789,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2020,,2.3,,1.9,2.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
10790,Did not get needed medical care due to cost,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2021,,2.2,,1.9,2.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA51,SC_NHISA00"
