topic,group,subgroup,year,estimate
Arthritis diagnosis,Race,Black and White,2019,13.8
Arthritis diagnosis,Race,Black and White,2021,8.5
Arthritis diagnosis,Race,Black and White,2022,11.9
Arthritis diagnosis,Race,Black and White,2023,8.2
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic",2019,12.2
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic",2020,12.0
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic",2021,12.8
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic",2022,12.4
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic",2023,12.4
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic, Mexican",2019,10.1
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic, Mexican",2020,10.7
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic, Mexican",2021,11.4
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic, Mexican",2022,10.6
Arthritis diagnosis,Race and Hispanic origin,"All races, Hispanic, Mexican",2023,11.9
Arthritis diagnosis,Race and Hispanic origin,"All races, non-Hispanic",2019,23.2
Arthritis diagnosis,Race and Hispanic origin,"All races, non-Hispanic",2020,22.7
Arthritis diagnosis,Race and Hispanic origin,"All races, non-Hispanic",2021,23.0
Arthritis diagnosis,Race and Hispanic origin,"All races, non-Hispanic",2022,23.5
Arthritis diagnosis,Race and Hispanic origin,"All races, non-Hispanic",2023,23.1
Arthritis diagnosis,Race and Hispanic origin,"Black only, non-Hispanic",2019,20.2
Arthritis diagnosis,Race and Hispanic origin,"Black only, non-Hispanic",2020,20.1
Arthritis diagnosis,Race and Hispanic origin,"Black only, non-Hispanic",2021,20.9
Arthritis diagnosis,Race and Hispanic origin,"Black only, non-Hispanic",2022,19.9
Arthritis diagnosis,Race and Hispanic origin,"Black only, non-Hispanic",2023,20.2
Arthritis diagnosis,Race and Hispanic origin,"White only, non-Hispanic",2019,24.9
Arthritis diagnosis,Race and Hispanic origin,"White only, non-Hispanic",2020,24.5
Arthritis diagnosis,Race and Hispanic origin,"White only, non-Hispanic",2021,24.8
Arthritis diagnosis,Race and Hispanic origin,"White only, non-Hispanic",2022,25.5
Arthritis diagnosis,Race and Hispanic origin,"White only, non-Hispanic",2023,25.0
Arthritis diagnosis,Race and Hispanic origin,"Other races, non-Hispanic",2019,14.6
Arthritis diagnosis,Race and Hispanic origin,"Other races, non-Hispanic",2020,13.1
Arthritis diagnosis,Race and Hispanic origin,"Other races, non-Hispanic",2021,12.9
Arthritis diagnosis,Race and Hispanic origin,"Other races, non-Hispanic",2022,14.2
Arthritis diagnosis,Race and Hispanic origin,"Other races, non-Hispanic",2023,13.5
Arthritis diagnosis,Sex,Female,2019,24.3
Arthritis diagnosis,Sex,Female,2020,24.1
Arthritis diagnosis,Sex,Female,2021,24.5
Arthritis diagnosis,Sex,Female,2022,25.0
Arthritis diagnosis,Sex,Female,2023,24.4
Arthritis diagnosis,Sex,Male,2019,18.3
Arthritis diagnosis,Sex,Male,2020,17.5
Arthritis diagnosis,Sex,Male,2021,17.8
Arthritis diagnosis,Sex,Male,2022,18.0
Arthritis diagnosis,Sex,Male,2023,17.9
Arthritis diagnosis,Sexual orientation,Bisexual,2019,16.5
Arthritis diagnosis,Sexual orientation,Bisexual,2020,11.5
Arthritis diagnosis,Sexual orientation,Bisexual,2021,9.6
Arthritis diagnosis,Sexual orientation,Bisexual,2022,13.0
Arthritis diagnosis,Sexual orientation,Bisexual,2023,14.2
Arthritis diagnosis,Sexual orientation,Gay or Lesbian,2019,18.3
Arthritis diagnosis,Sexual orientation,Gay or Lesbian,2020,17.9
Arthritis diagnosis,Sexual orientation,Gay or Lesbian,2021,13.8
Arthritis diagnosis,Sexual orientation,Gay or Lesbian,2022,18.6
Arthritis diagnosis,Sexual orientation,Gay or Lesbian,2023,17.1
Arthritis diagnosis,Sexual orientation,Straight,2019,21.5
Arthritis diagnosis,Sexual orientation,Straight,2020,21.2
Arthritis diagnosis,Sexual orientation,Straight,2021,21.8
Arthritis diagnosis,Sexual orientation,Straight,2022,22.0
Arthritis diagnosis,Sexual orientation,Straight,2023,21.8
Arthritis diagnosis,Veteran status,Veteran,2019,36.0
Arthritis diagnosis,Veteran status,Veteran,2020,35.1
Arthritis diagnosis,Veteran status,Veteran,2021,35.3
Arthritis diagnosis,Veteran status,Veteran,2022,34.3
Arthritis diagnosis,Veteran status,Veteran,2023,35.7
Arthritis diagnosis,Veteran status,Non-veteran,2019,20.1
Arthritis diagnosis,Veteran status,Non-veteran,2020,19.7
Arthritis diagnosis,Veteran status,Non-veteran,2021,20.1
Arthritis diagnosis,Veteran status,Non-veteran,2022,20.6
Arthritis diagnosis,Veteran status,Non-veteran,2023,20.2
Arthritis diagnosis,Metropolitan statistical area,Large MSA,2019,18.2
Arthritis diagnosis,Metropolitan statistical area,Large MSA,2020,18.0
Arthritis diagnosis,Metropolitan statistical area,Large MSA,2021,18.8
Arthritis diagnosis,Metropolitan statistical area,Large MSA,2022,18.6
Arthritis diagnosis,Metropolitan statistical area,Large MSA,2023,18.7
Arthritis diagnosis,Metropolitan statistical area,Small MSA,2019,23.6
Arthritis diagnosis,Metropolitan statistical area,Small MSA,2020,22.8
Arthritis diagnosis,Metropolitan statistical area,Small MSA,2021,22.5
Arthritis diagnosis,Metropolitan statistical area,Small MSA,2022,23.8
Arthritis diagnosis,Metropolitan statistical area,Small MSA,2023,22.5
Arthritis diagnosis,Metropolitan statistical area,Non-MSA,2019,28.9
Arthritis diagnosis,Metropolitan statistical area,Non-MSA,2020,28.1
Arthritis diagnosis,Metropolitan statistical area,Non-MSA,2021,28.8
Arthritis diagnosis,Metropolitan statistical area,Non-MSA,2022,28.9
Arthritis diagnosis,Metropolitan statistical area,Non-MSA,2023,28.5
Arthritis diagnosis,Region,Northeast,2019,22.3
Arthritis diagnosis,Region,Northeast,2020,20.9
Arthritis diagnosis,Region,Northeast,2021,21.1
Arthritis diagnosis,Region,Northeast,2022,21.2
Arthritis diagnosis,Region,Northeast,2023,21.4
Arthritis diagnosis,Region,Midwest,2019,23.0
Arthritis diagnosis,Region,Midwest,2020,22.4
Arthritis diagnosis,Region,Midwest,2021,23.7
Arthritis diagnosis,Region,Midwest,2022,23.2
Arthritis diagnosis,Region,Midwest,2023,23.5
Arthritis diagnosis,Region,South,2019,21.9
Arthritis diagnosis,Region,South,2020,21.7
Arthritis diagnosis,Region,South,2021,22.0
Arthritis diagnosis,Region,South,2022,21.9
Arthritis diagnosis,Region,South,2023,21.3
Arthritis diagnosis,Region,West,2019,18.6
Arthritis diagnosis,Region,West,2020,18.2
Arthritis diagnosis,Region,West,2021,18.1
Arthritis diagnosis,Region,West,2022,20.1
Arthritis diagnosis,Region,West,2023,19.0
Arthritis diagnosis,Social vulnerability,Little to no social vulnerability,2019,21.9
Arthritis diagnosis,Social vulnerability,Little to no social vulnerability,2020,20.8
Arthritis diagnosis,Social vulnerability,Little to no social vulnerability,2021,22.0
Arthritis diagnosis,Social vulnerability,Little to no social vulnerability,2022,22.7
Arthritis diagnosis,Social vulnerability,Little to no social vulnerability,2023,22.4
Arthritis diagnosis,Social vulnerability,Low social vulnerability,2019,20.3
Arthritis diagnosis,Social vulnerability,Low social vulnerability,2020,21.0
Arthritis diagnosis,Social vulnerability,Low social vulnerability,2021,21.6
Arthritis diagnosis,Social vulnerability,Low social vulnerability,2022,22.0
Arthritis diagnosis,Social vulnerability,Low social vulnerability,2023,21.5
Arthritis diagnosis,Social vulnerability,Medium social vulnerability,2019,22.5
Arthritis diagnosis,Social vulnerability,Medium social vulnerability,2020,21.3
Arthritis diagnosis,Social vulnerability,Medium social vulnerability,2021,21.2
Arthritis diagnosis,Social vulnerability,Medium social vulnerability,2022,22.7
Arthritis diagnosis,Social vulnerability,Medium social vulnerability,2023,22.8
Arthritis diagnosis,Social vulnerability,High social vulnerability,2019,20.9
Arthritis diagnosis,Social vulnerability,High social vulnerability,2020,20.4
Arthritis diagnosis,Social vulnerability,High social vulnerability,2021,20.5
Arthritis diagnosis,Social vulnerability,High social vulnerability,2022,20.0
Arthritis diagnosis,Social vulnerability,High social vulnerability,2023,19.2
Arthritis diagnosis,Urbanicity,Large central metro,2019,16.8
Arthritis diagnosis,Urbanicity,Large central metro,2020,17.0
Arthritis diagnosis,Urbanicity,Large central metro,2021,17.2
Arthritis diagnosis,Urbanicity,Large central metro,2022,17.1
Arthritis diagnosis,Urbanicity,Large central metro,2023,17.5
Arthritis diagnosis,Urbanicity,Large fringe metro,2019,20.1
Arthritis diagnosis,Urbanicity,Large fringe metro,2020,19.2
Arthritis diagnosis,Urbanicity,Large fringe metro,2021,20.9
Arthritis diagnosis,Urbanicity,Large fringe metro,2022,20.5
Arthritis diagnosis,Urbanicity,Large fringe metro,2023,20.2
Arthritis diagnosis,Urbanicity,Medium and small metro,2019,23.5
Arthritis diagnosis,Urbanicity,Medium and small metro,2020,22.9
Arthritis diagnosis,Urbanicity,Medium and small metro,2021,22.5
Arthritis diagnosis,Urbanicity,Medium and small metro,2022,23.8
Arthritis diagnosis,Urbanicity,Medium and small metro,2023,22.5
Arthritis diagnosis,Urbanicity,Nonmetropolitan,2019,28.9
Arthritis diagnosis,Urbanicity,Nonmetropolitan,2020,28.1
Arthritis diagnosis,Urbanicity,Nonmetropolitan,2021,28.8
Arthritis diagnosis,Urbanicity,Nonmetropolitan,2022,28.9
Arthritis diagnosis,Urbanicity,Nonmetropolitan,2023,28.5
Arthritis diagnosis,Education,No high school diploma or GED,2019,31.3
Arthritis diagnosis,Education,No high school diploma or GED,2020,28.0
Arthritis diagnosis,Education,No high school diploma or GED,2021,30.0
Arthritis diagnosis,Education,No high school diploma or GED,2022,29.6
Arthritis diagnosis,Education,No high school diploma or GED,2023,30.1
Arthritis diagnosis,Education,High school diploma or GED,2019,26.7
Arthritis diagnosis,Education,High school diploma or GED,2020,26.8
Arthritis diagnosis,Education,High school diploma or GED,2021,26.7
Arthritis diagnosis,Education,High school diploma or GED,2022,26.7
Arthritis diagnosis,Education,High school diploma or GED,2023,26.4
Arthritis diagnosis,Education,Some college,2019,25.5
Arthritis diagnosis,Education,Some college,2020,25.3
Arthritis diagnosis,Education,Some college,2021,27.1
Arthritis diagnosis,Education,Some college,2022,27.4
Arthritis diagnosis,Education,Some college,2023,26.4
Arthritis diagnosis,Education,College degree or higher,2019,17.5
Arthritis diagnosis,Education,College degree or higher,2020,16.8
Arthritis diagnosis,Education,College degree or higher,2021,17.9
Arthritis diagnosis,Education,College degree or higher,2022,17.9
Arthritis diagnosis,Education,College degree or higher,2023,18.0
Arthritis diagnosis,Employment status,Employed,2019,12.6
Arthritis diagnosis,Employment status,Employed,2020,12.4
Arthritis diagnosis,Employment status,Employed,2021,12.7
Arthritis diagnosis,Employment status,Employed,2022,13.0
Arthritis diagnosis,Employment status,Employed,2023,13.1
Arthritis diagnosis,Employment status,Employed - Full-time,2019,11.9
Arthritis diagnosis,Employment status,Employed - Full-time,2020,11.8
Arthritis diagnosis,Employment status,Employed - Full-time,2021,11.9
Arthritis diagnosis,Employment status,Employed - Full-time,2022,12.1
Arthritis diagnosis,Employment status,Employed - Full-time,2023,12.0
Arthritis diagnosis,Employment status,Employed - Part-time,2019,15.8
Arthritis diagnosis,Employment status,Employed - Part-time,2020,15.4
Arthritis diagnosis,Employment status,Employed - Part-time,2021,15.9
Arthritis diagnosis,Employment status,Employed - Part-time,2022,16.3
Arthritis diagnosis,Employment status,Employed - Part-time,2023,17.1
Arthritis diagnosis,Employment status,Not employed,2019,37.3
Arthritis diagnosis,Employment status,Not employed,2020,34.5
Arthritis diagnosis,Employment status,Not employed,2021,35.5
Arthritis diagnosis,Employment status,Not employed,2022,36.8
Arthritis diagnosis,Employment status,Not employed,2023,35.8
Arthritis diagnosis,Employment status,Not employed - Has worked previously,2019,39.0
Arthritis diagnosis,Employment status,Not employed - Has worked previously,2020,36.0
Arthritis diagnosis,Employment status,Not employed - Has worked previously,2021,37.1
Arthritis diagnosis,Employment status,Not employed - Has worked previously,2022,38.4
Arthritis diagnosis,Employment status,Not employed - Has worked previously,2023,37.7
Arthritis diagnosis,Employment status,Not employed - Has never worked,2019,19.3
Arthritis diagnosis,Employment status,Not employed - Has never worked,2020,12.7
Arthritis diagnosis,Employment status,Not employed - Has never worked,2021,12.8
Arthritis diagnosis,Employment status,Not employed - Has never worked,2022,13.7
Arthritis diagnosis,Employment status,Not employed - Has never worked,2023,11.8
Arthritis diagnosis,Health insurance coverage: 65 years and older,Private,2019,46.8
Arthritis diagnosis,Health insurance coverage: 65 years and older,Private,2020,46.3
Arthritis diagnosis,Health insurance coverage: 65 years and older,Private,2021,46.8
Arthritis diagnosis,Health insurance coverage: 65 years and older,Private,2022,45.1
Arthritis diagnosis,Health insurance coverage: 65 years and older,Private,2023,46.8
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare and Medicaid,2019,58.2
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare and Medicaid,2020,57.7
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare and Medicaid,2021,55.6
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare and Medicaid,2022,59.1
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare and Medicaid,2023,54.9
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare Advantage,2019,47.8
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare Advantage,2020,47.1
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare Advantage,2021,48.7
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare Advantage,2022,48.8
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare Advantage,2023,47.3
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2019,41.2
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2020,39.7
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2021,43.7
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2022,44.4
Arthritis diagnosis,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2023,43.4
Arthritis diagnosis,Health insurance coverage: 65 years and older,Other government coverage,2019,54.0
Arthritis diagnosis,Health insurance coverage: 65 years and older,Other government coverage,2020,53.0
Arthritis diagnosis,Health insurance coverage: 65 years and older,Other government coverage,2021,53.5
Arthritis diagnosis,Health insurance coverage: 65 years and older,Other government coverage,2022,52.6
Arthritis diagnosis,Health insurance coverage: 65 years and older,Other government coverage,2023,52.3
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Private,2019,12.8
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Private,2020,12.5
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Private,2021,12.6
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Private,2022,12.9
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Private,2023,12.8
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2019,21.6
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2020,20.0
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2021,19.0
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2022,19.8
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2023,17.5
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Other government coverage,2019,33.6
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Other government coverage,2020,30.0
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Other government coverage,2021,32.3
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Other government coverage,2022,31.7
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Other government coverage,2023,31.3
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Uninsured,2019,9.6
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Uninsured,2020,8.1
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Uninsured,2021,7.8
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Uninsured,2022,7.1
Arthritis diagnosis,Health insurance coverage: Younger than 65 years,Uninsured,2023,6.6
Arthritis diagnosis,Poverty level,<100% FPL,2019,25.4
Arthritis diagnosis,Poverty level,<100% FPL,2020,25.4
Arthritis diagnosis,Poverty level,<100% FPL,2021,25.2
Arthritis diagnosis,Poverty level,<100% FPL,2022,25.1
Arthritis diagnosis,Poverty level,<100% FPL,2023,24.3
Arthritis diagnosis,Poverty level,100% to <200% FPL,2019,24.5
Arthritis diagnosis,Poverty level,100% to <200% FPL,2020,24.0
Arthritis diagnosis,Poverty level,100% to <200% FPL,2021,24.1
Arthritis diagnosis,Poverty level,100% to <200% FPL,2022,24.8
Arthritis diagnosis,Poverty level,100% to <200% FPL,2023,25.0
Arthritis diagnosis,Poverty level,≥200% FPL,2019,19.9
Arthritis diagnosis,Poverty level,≥200% FPL,2020,19.5
Arthritis diagnosis,Poverty level,≥200% FPL,2021,20.1
Arthritis diagnosis,Poverty level,≥200% FPL,2022,20.3
Arthritis diagnosis,Poverty level,≥200% FPL,2023,19.8
Asthma episode/attack in adults,Total,18 years and older,2019,3.4
Asthma episode/attack in adults,Total,18 years and older,2020,3.5
Asthma episode/attack in adults,Total,18 years and older,2021,3.3
Asthma episode/attack in adults,Total,18 years and older,2022,3.7
Asthma episode/attack in adults,Total,18 years and older,2023,3.8
Asthma episode/attack in adults,Age groups with 65 years and older,18-34 years,2019,3.5
Asthma episode/attack in adults,Age groups with 65 years and older,18-34 years,2020,3.5
Asthma episode/attack in adults,Age groups with 65 years and older,18-34 years,2021,3.3
Asthma episode/attack in adults,Age groups with 65 years and older,18-34 years,2022,3.8
Asthma episode/attack in adults,Age groups with 65 years and older,18-34 years,2023,3.6
Asthma episode/attack in adults,Age groups with 65 years and older,35-49 years,2019,3.8
Asthma episode/attack in adults,Age groups with 65 years and older,35-49 years,2020,4.0
Asthma episode/attack in adults,Age groups with 65 years and older,35-49 years,2021,3.5
Asthma episode/attack in adults,Age groups with 65 years and older,35-49 years,2022,3.7
Asthma episode/attack in adults,Age groups with 65 years and older,35-49 years,2023,3.8
Asthma episode/attack in adults,Age groups with 65 years and older,50-64 years,2019,3.5
Asthma episode/attack in adults,Age groups with 65 years and older,50-64 years,2020,4.1
Asthma episode/attack in adults,Age groups with 65 years and older,50-64 years,2021,4.1
Asthma episode/attack in adults,Age groups with 65 years and older,50-64 years,2022,4.1
Asthma episode/attack in adults,Age groups with 65 years and older,50-64 years,2023,4.7
Asthma episode/attack in adults,Age groups with 65 years and older,65 years and older,2019,2.7
Asthma episode/attack in adults,Age groups with 65 years and older,65 years and older,2020,2.5
Asthma episode/attack in adults,Age groups with 65 years and older,65 years and older,2021,2.2
Asthma episode/attack in adults,Age groups with 65 years and older,65 years and older,2022,2.9
Asthma episode/attack in adults,Age groups with 65 years and older,65 years and older,2023,3.2
Asthma episode/attack in adults,Age groups with 75 years and older,18-44 years,2019,3.5
Asthma episode/attack in adults,Age groups with 75 years and older,18-44 years,2020,3.6
Asthma episode/attack in adults,Age groups with 75 years and older,18-44 years,2021,3.3
Asthma episode/attack in adults,Age groups with 75 years and older,18-44 years,2022,3.7
Asthma episode/attack in adults,Age groups with 75 years and older,18-44 years,2023,3.7
Asthma episode/attack in adults,Age groups with 75 years and older,45-64 years,2019,3.7
Asthma episode/attack in adults,Age groups with 75 years and older,45-64 years,2020,4.1
Asthma episode/attack in adults,Age groups with 75 years and older,45-64 years,2021,4.1
Asthma episode/attack in adults,Age groups with 75 years and older,45-64 years,2022,4.1
Asthma episode/attack in adults,Age groups with 75 years and older,45-64 years,2023,4.5
Asthma episode/attack in adults,Age groups with 75 years and older,65-74 years,2019,3.1
Asthma episode/attack in adults,Age groups with 75 years and older,65-74 years,2020,3.1
Asthma episode/attack in adults,Age groups with 75 years and older,65-74 years,2021,2.3
Asthma episode/attack in adults,Age groups with 75 years and older,65-74 years,2022,3.4
Asthma episode/attack in adults,Age groups with 75 years and older,65-74 years,2023,3.5
Asthma episode/attack in adults,Age groups with 75 years and older,75 years and older,2019,2.1
Asthma episode/attack in adults,Age groups with 75 years and older,75 years and older,2020,1.7
Asthma episode/attack in adults,Age groups with 75 years and older,75 years and older,2021,2.1
Asthma episode/attack in adults,Age groups with 75 years and older,75 years and older,2022,2.1
Asthma episode/attack in adults,Age groups with 75 years and older,75 years and older,2023,2.7
Asthma episode/attack in adults,Disability status,With disability,2019,8.7
Asthma episode/attack in adults,Disability status,With disability,2020,8.2
Asthma episode/attack in adults,Disability status,With disability,2021,7.6
Asthma episode/attack in adults,Disability status,With disability,2022,9.1
Asthma episode/attack in adults,Disability status,With disability,2023,10.0
Asthma episode/attack in adults,Disability status,Without disability,2019,2.9
Asthma episode/attack in adults,Disability status,Without disability,2020,3.1
Asthma episode/attack in adults,Disability status,Without disability,2021,2.9
Asthma episode/attack in adults,Disability status,Without disability,2022,3.1
Asthma episode/attack in adults,Disability status,Without disability,2023,3.2
Asthma episode/attack in adults,Functioning difficulties status,With functioning difficulties,2019,5.3
Asthma episode/attack in adults,Functioning difficulties status,With functioning difficulties,2020,5.4
Asthma episode/attack in adults,Functioning difficulties status,With functioning difficulties,2021,4.8
Asthma episode/attack in adults,Functioning difficulties status,With functioning difficulties,2022,5.6
Asthma episode/attack in adults,Functioning difficulties status,With functioning difficulties,2023,6.0
Asthma episode/attack in adults,Functioning difficulties status,Without functioning difficulties,2019,2.1
Asthma episode/attack in adults,Functioning difficulties status,Without functioning difficulties,2020,2.2
Asthma episode/attack in adults,Functioning difficulties status,Without functioning difficulties,2021,2.1
Asthma episode/attack in adults,Functioning difficulties status,Without functioning difficulties,2022,2.1
Asthma episode/attack in adults,Functioning difficulties status,Without functioning difficulties,2023,2.0
Asthma episode/attack in adults,Marital status,Married,2019,2.9
Asthma episode/attack in adults,Marital status,Married,2020,3.1
Asthma episode/attack in adults,Marital status,Married,2021,2.9
Asthma episode/attack in adults,Marital status,Married,2022,3.2
Asthma episode/attack in adults,Marital status,Married,2023,3.2
Asthma episode/attack in adults,Marital status,Divorced or separated,2019,4.7
Asthma episode/attack in adults,Marital status,Divorced or separated,2020,4.5
Asthma episode/attack in adults,Marital status,Divorced or separated,2021,4.8
Asthma episode/attack in adults,Marital status,Divorced or separated,2022,5.1
Asthma episode/attack in adults,Marital status,Divorced or separated,2023,5.6
Asthma episode/attack in adults,Marital status,Widowed,2019,3.3
Asthma episode/attack in adults,Marital status,Widowed,2020,4.1
Asthma episode/attack in adults,Marital status,Widowed,2021,3.4
Asthma episode/attack in adults,Marital status,Widowed,2022,3.0
Asthma episode/attack in adults,Marital status,Widowed,2023,4.3
Asthma episode/attack in adults,Marital status,Living with a partner,2019,4.4
Asthma episode/attack in adults,Marital status,Living with a partner,2020,4.0
Asthma episode/attack in adults,Marital status,Living with a partner,2021,3.1
Asthma episode/attack in adults,Marital status,Living with a partner,2022,4.7
Asthma episode/attack in adults,Marital status,Living with a partner,2023,5.2
Asthma episode/attack in adults,Marital status,Never married,2019,3.5
Asthma episode/attack in adults,Marital status,Never married,2020,3.8
Asthma episode/attack in adults,Marital status,Never married,2021,3.4
Asthma episode/attack in adults,Marital status,Never married,2022,3.8
Asthma episode/attack in adults,Marital status,Never married,2023,3.8
Asthma episode/attack in adults,Nativity,U.S.-born,2019,3.8
Asthma episode/attack in adults,Nativity,U.S.-born,2020,3.9
Asthma episode/attack in adults,Nativity,U.S.-born,2021,3.6
Asthma episode/attack in adults,Nativity,U.S.-born,2022,4.1
Asthma episode/attack in adults,Nativity,U.S.-born,2023,4.2
Asthma episode/attack in adults,Nativity,Foreign-born,2019,1.5
Asthma episode/attack in adults,Nativity,Foreign-born,2020,1.8
Asthma episode/attack in adults,Nativity,Foreign-born,2021,1.5
Asthma episode/attack in adults,Nativity,Foreign-born,2022,1.8
Asthma episode/attack in adults,Nativity,Foreign-born,2023,2.2
Asthma episode/attack in adults,Race,American Indian and Alaska Native only,2019,2.3
Asthma episode/attack in adults,Race,American Indian and Alaska Native only,2021,4.6
Asthma episode/attack in adults,Race,American Indian and Alaska Native only,2022,7.5
Asthma episode/attack in adults,Race,American Indian and Alaska Native only,2023,6.7
Asthma episode/attack in adults,Race,Asian only,2019,1.3
Asthma episode/attack in adults,Race,Asian only,2020,2.1
Asthma episode/attack in adults,Race,Asian only,2021,2.1
Asthma episode/attack in adults,Race,Asian only,2022,1.9
Asthma episode/attack in adults,Race,Asian only,2023,2.3
Asthma episode/attack in adults,Race,Black only,2019,4.4
Asthma episode/attack in adults,Race,Black only,2020,4.3
Asthma episode/attack in adults,Race,Black only,2021,3.7
Asthma episode/attack in adults,Race,Black only,2022,4.0
Asthma episode/attack in adults,Race,Black only,2023,4.4
Asthma episode/attack in adults,Race,White only,2019,3.4
Asthma episode/attack in adults,Race,White only,2020,3.5
Asthma episode/attack in adults,Race,White only,2021,3.3
Asthma episode/attack in adults,Race,White only,2022,3.7
Asthma episode/attack in adults,Race,White only,2023,3.8
Asthma episode/attack in adults,Race,American Indian and Alaska Native and White,2021,11.6
Asthma episode/attack in adults,Race,American Indian and Alaska Native and White,2023,7.0
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic",2019,2.8
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic",2020,3.1
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic",2021,2.5
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic",2022,3.3
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic",2023,3.0
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2019,2.2
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2020,2.3
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2021,1.6
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2022,2.5
Asthma episode/attack in adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2023,2.3
Asthma episode/attack in adults,Race and Hispanic origin,"All races, non-Hispanic",2019,3.5
Asthma episode/attack in adults,Race and Hispanic origin,"All races, non-Hispanic",2020,3.6
Asthma episode/attack in adults,Race and Hispanic origin,"All races, non-Hispanic",2021,3.4
Asthma episode/attack in adults,Race and Hispanic origin,"All races, non-Hispanic",2022,3.7
Asthma episode/attack in adults,Race and Hispanic origin,"All races, non-Hispanic",2023,4.0
Asthma episode/attack in adults,Race and Hispanic origin,"Black only, non-Hispanic",2019,4.4
Asthma episode/attack in adults,Race and Hispanic origin,"Black only, non-Hispanic",2020,4.3
Asthma episode/attack in adults,Race and Hispanic origin,"Black only, non-Hispanic",2021,3.7
Asthma episode/attack in adults,Race and Hispanic origin,"Black only, non-Hispanic",2022,3.9
Asthma episode/attack in adults,Race and Hispanic origin,"Black only, non-Hispanic",2023,4.2
Asthma episode/attack in adults,Race and Hispanic origin,"White only, non-Hispanic",2019,3.5
Asthma episode/attack in adults,Race and Hispanic origin,"White only, non-Hispanic",2020,3.6
Asthma episode/attack in adults,Race and Hispanic origin,"White only, non-Hispanic",2021,3.4
Asthma episode/attack in adults,Race and Hispanic origin,"White only, non-Hispanic",2022,3.7
Asthma episode/attack in adults,Race and Hispanic origin,"White only, non-Hispanic",2023,4.0
Asthma episode/attack in adults,Race and Hispanic origin,"Other races, non-Hispanic",2019,2.3
Asthma episode/attack in adults,Race and Hispanic origin,"Other races, non-Hispanic",2020,2.8
